folio_integrante;edad;ponderador;grupo;resultado_general_entrevista;region_Centro;region_Centro Norte;region_Frontera;region_Pacifico-Norte;region_Pacífico Sur;region_Pacífico-Centro;region_Península;sexo_Mujer;estrato_Rural  ( <2500 Hab );estrato_Urbano ( 2500-99,999 Hab)
2022_05024003_02;42;113506.648402945;Adolescentes y Adultos;1;False;False;True;False;False;False;False;True;False;True
2022_05027004_01;52;22029.9999240021;Adolescentes y Adultos;1;False;False;True;False;False;False;False;True;False;False
2022_05027009_03;22;40370.3446737227;Adolescentes y Adultos;1;False;False;True;False;False;False;False;False;False;False
2022_05027019_01;34;75599.2965125852;Adolescentes y Adultos;1;False;False;True;False;False;False;False;False;False;False
2022_05027029_02;20;135497.41526059;Adolescentes y Adultos;1;False;False;True;False;False;False;False;True;False;False
2022_05030008_01;31;187323.894445949;Adolescentes y Adultos;1;False;False;True;False;False;False;False;False;False;False
2022_05030027_02;30;158523.4989567;Adolescentes y Adultos;1;False;False;True;False;False;False;False;False;False;False
2022_05030050_03;13;44569.0844389635;Adolescentes y Adultos;1;False;False;True;False;False;False;False;False;False;False
2022_05030064_01;54;127727.159569594;Adolescentes y Adultos;1;False;False;True;False;False;False;False;False;False;False
2022_05030077_03;41;85281.1162215098;Adolescentes y Adultos;1;False;False;True;False;False;False;False;False;False;False
2022_05030081_01;60;123814.982296426;Adolescentes y Adultos;1;False;False;True;False;False;False;False;True;False;False
2022_05035008_02;31;134453.521460432;Adolescentes y Adultos;1;False;False;True;False;False;False;False;True;False;False
2022_05038008_01;53;70409.8110232846;Adolescentes y Adultos;1;False;False;True;False;False;False;False;False;False;True
2022_05038025_01;60;150477.108088041;Adolescentes y Adultos;1;False;False;True;False;False;False;False;False;False;True
2022_06002036_01;61;28383.8892030415;Adolescentes y Adultos;1;False;False;False;False;False;True;False;True;False;False
2022_06002050_01;24;81054.218163125;Adolescentes y Adultos;1;False;False;False;False;False;True;False;False;False;False
2022_06002069_01;36;120390.557473993;Adolescentes y Adultos;1;False;False;False;False;False;True;False;True;False;False
2022_06003025_02;66;14814.142195944;Adolescentes y Adultos;1;False;False;False;False;False;True;False;True;True;False
2022_06003034_01;24;14114.7202624126;Adolescentes y Adultos;1;False;False;False;False;False;True;False;True;True;False
2022_06003059_02;33;25383.5649940453;Adolescentes y Adultos;1;False;False;False;False;False;True;False;True;True;False
2022_06007009_01;35;16684.9518124053;Adolescentes y Adultos;1;False;False;False;False;False;True;False;True;False;False
2022_06007024_01;56;102713.660922711;Adolescentes y Adultos;1;False;False;False;False;False;True;False;False;False;False
2022_06007033_01;45;42806.0573679422;Adolescentes y Adultos;1;False;False;False;False;False;True;False;False;False;False
2022_06007034_01;20;29861.7135885604;Adolescentes y Adultos;1;False;False;False;False;False;True;False;True;False;False
2022_06007035_02;42;21597.3363710921;Adolescentes y Adultos;1;False;False;False;False;False;True;False;True;False;False
2022_06009035_01;67;14275.4907349943;Adolescentes y Adultos;1;False;False;False;False;False;True;False;False;False;True
2022_06009057_01;21;226937.787877863;Adolescentes y Adultos;1;False;False;False;False;False;True;False;True;False;True
2022_06010015_01;52;45853.3231016315;Adolescentes y Adultos;1;False;False;False;False;False;True;False;True;False;False
2022_06010057_01;63;15846.7448846218;Adolescentes y Adultos;1;False;False;False;False;False;True;False;True;False;False
2022_06010061_01;67;15846.7448846218;Adolescentes y Adultos;1;False;False;False;False;False;True;False;True;False;False
2022_07008001_03;14;99340.1828258268;Adolescentes y Adultos;1;False;False;False;False;False;False;True;True;True;False
2022_07008010_02;48;39215.7227566352;Adolescentes y Adultos;1;False;False;False;False;False;False;True;True;True;False
2022_07008011_02;36;139569.413091867;Adolescentes y Adultos;0;False;False;False;False;False;False;True;False;True;False
2022_07008013_04;39;64815.9783800555;Adolescentes y Adultos;1;False;False;False;False;False;False;True;True;True;False
