edad;ponderador;resultado_general_entrevista;balance_dqi;moderation_dqi;variety_dqi;dqi_food_groups;dqi_protein_sources;dqi_adecuacy;dqi_total;region;estrato;sexo;edad_rango
22;0.0011238488686576486;1;0;15;20;15;5;31;66;Centro Norte;Rural  ( <2500 Hab );Mujer;18 - 24
43;0.0005016855490586448;1;0;12;15;12;3;30;57;Centro Norte;Rural  ( <2500 Hab );Mujer;35 - 49
46;0.0004162251565946362;1;0;3;12;9;3;29;44;Centro Norte;Rural  ( <2500 Hab );Hombre;35 - 49
30;0.002026723730305833;1;0;6;17;12;5;30;53;Centro Norte;Rural  ( <2500 Hab );Hombre;25 - 34
46;0.00024066401271540216;1;0;9;20;15;5;30;59;Centro Norte;Rural  ( <2500 Hab );Hombre;35 - 49
21;0.0010329854947076838;1;0;15;9;6;3;17;41;Centro Norte;Rural  ( <2500 Hab );Mujer;18 - 24
60;0.0003210888050940245;1;0;18;6;3;3;22;46;Centro Norte;Rural  ( <2500 Hab );Hombre;50 - 65
38;0.0005849315610665366;1;0;12;20;15;5;36;68;Centro Norte;Rural  ( <2500 Hab );Hombre;35 - 49
46;0.0004927288706816163;1;0;6;20;15;5;34;60;Centro Norte;Rural  ( <2500 Hab );Mujer;35 - 49
27;0.0028873896286182076;1;0;9;8;3;5;19;36;Centro Norte;Rural  ( <2500 Hab );Hombre;25 - 34
53;0.00027998076488039837;1;0;18;7;6;1;23;48;Centro Norte;Rural  ( <2500 Hab );Mujer;50 - 65
