energ_kcal,carbohydrt,lipid_tot,protein,fiber_td,calcium,iron,ironhem,ironnohem,zinc,vit_c,thiamin,riboflavin,niacin,panto_acid,vit_b6,folic_acid,food_folate,folate_dfe,vit_b12,vit_a_rae,vit_e,vit_d_iu,vit_k,fa_sat,fa_mono,fa_poly,chole,carbohydrt_ratio,lipid_tot_ratio,protein_ratio,macronutrients_dqi,poly_ratio,mono_ratio,fatty_acids_dqi,balance_dqi,empty_calories_dqi,grasa_dqi,fa_sat_dqi,colesterol_dqi,moderation_dqi
11871.504,1251.241,560.088,463.3398,126.72500000000001,4227.655,87.1232,7.878,70.4792,71.5536,2260.74,8.9004,8.8406,102.462,25.1642,12.3748,758.6389999999999,2528.787,3818.492,24.644000000000002,5086.308,41.0188,898.642,1600.152,203.29828,217.6178,104.05560000000001,2085.9131,0.42061648415673797,0.42362746433449094,0.155756051508771,0,0.511837089816992,1.0704360115589762,0,0,6,0,0,6,12
5739.432,762.79,248.036,159.095,90.6905,1904.73,37.329,4.206,30.961999999999996,34.7985,324.275,2.6455,3.1305,43.1725,17.108,4.834,117.41,301.14099999999996,500.791,10.267,542.1384999999999,8.58,86.228,201.42000000000002,147.86865,57.67595,30.8623,499.9465,0.5154104891598861,0.3770904196447756,0.10749909119533826,0,0.20871428798464042,0.3900485329378472,0,0,0,0,0,6,6
16753.87555,2038.4447499999999,673.41995,587.3957,140.05275,7239.9445,106.52755,10.346400000000001,95.8419,79.6654,2316.0387499999997,11.8053,11.49555,177.44265,36.87715,12.61355,991.4939999999999,2231.8134999999997,3917.469,30.4691,6054.6804999999995,57.0505,1948.3623999999998,1164.7965,242.87333999999998,237.05993,125.424025,2120.8085,0.4922548550939527,0.3658975990325028,0.1418475458735445,0,0.516417425642518,0.976064025800444,0,0,6,0,0,3,9
15115.165999999997,568.7005,677.235,1736.8930000000003,175.211,26634.467,179.5475,54.43200000000001,124.44349999999999,96.9495,813.225,4.857000000000001,15.277000000000001,627.9925,50.767500000000005,21.490000000000002,0.0,1297.994,1297.994,391.6410000000001,3736.944,83.413,10792.32,1206.665,148.83520000000001,238.59184999999997,281.05105000000003,3959.4264000000003,0.14851011154635071,0.3979186797522753,0.453571208701374,0,1.888337234740169,1.603060633506052,0,0,6,0,3,0,9
17390.1785,2488.2120999999997,692.1629,348.515,215.74350000000004,4745.885,96.85640000000001,0.5980000000000001,91.36140000000002,59.2827,3116.2390000000005,9.8026,12.9027,90.4521,36.6267,13.4524,208.59799999999998,1609.2585,1964.0439999999999,13.306,3240.491,42.0078,1071.497,257.911,305.99708000000004,264.23696,82.54212,2056.89235,0.5662628774779462,0.35442269963011996,0.0793144228919337,0,0.26974806426257397,0.8635277173233156,0,0,0,0,0,6,6
6280.8874,726.2002,287.5646,193.6682,37.833,2564.8238,35.6944,1.8320000000000003,26.2074,25.1186,170.8688,3.1752,5.026,29.5592,14.5312,3.6562,263.33939999999996,790.7442,1238.4066,9.126199999999999,2369.5006,24.293599999999998,616.4572000000001,284.3286,103.92464,103.71378,67.29666,2336.95246,0.4634663437337207,0.41293317729162327,0.123600478974656,0,0.6475524957315224,0.9979710297769615,0,0,6,0,0,3,9
20369.7401,3073.28905,704.86875,549.79125,315.08,10704.07,143.6018,5.089600000000001,111.84519999999999,94.00285,4775.026,18.6626,20.2743,200.37325,39.5116,22.627399999999998,1372.31,3102.7745,5435.5335000000005,37.1678,6733.777,53.1198,1290.511,377.319,221.165165,230.51243,159.39084499999998,1974.4298000000001,0.5899920152916807,0.30446228357186667,0.10554570113645258,0,0.7206869354855227,1.0422637308185492,0,0,6,0,3,6,15
16591.2372,2434.0523,529.84526,521.66416,215.8987,5660.833,98.00324,6.726000000000001,86.49424,79.66608000000001,1000.7289999999999,15.98964,14.14536,158.91675999999998,42.36803999999999,12.0016,516.0509999999999,2211.757,3089.096,25.757,1984.272,55.702619999999996,793.4529999999999,376.9146,173.00799,211.704984,139.6479,1495.6601,0.5868200547577896,0.28741313614925185,0.12576680909295843,0,0.8071760153967454,1.2236717159710369,4,4,0,3,3,6,12
10439.238000000001,1941.9492,236.40939999999998,328.989,214.603,12434.664999999999,64.121,0.0,17.753,80.6096,3913.48,7.700800000000001,14.648200000000001,32.3346,32.5606,6.3064,522.816,2519.2400000000002,3407.6240000000003,11.907,4229.1,19.5288,1290.24,377.81,75.82764,41.75976,10.51884,52.5,0.6928457541046431,0.18977803863044354,0.11737620726491323,0,0.13872039272223163,0.5507195001717052,0,0,6,3,6,6,21
16479.4434,1784.46355,742.8292,702.4491,129.29525,7472.04,87.6533,12.4878,69.5435,103.6913,1952.1990000000003,18.27295,14.420250000000001,149.2692,33.93025,16.20205,626.99675,1091.005,2156.88225,46.376400000000004,2630.805,27.11135,1562.64125,186.2015,355.555025,330.355585,100.31260999999999,3338.9159999999997,0.4291351852383812,0.4019369458516408,0.16892786890997813,0,0.2821296366153171,0.9291264692434034,0,0,3,0,0,0,3
